f (Hz),c1,c2,(c2-c3)/cn,c3,cn,cM,c4,c5,c6,chm,c7,c8,c9,c10,c11a,c11b,c11c,c11d,c1a,,s1,s2,s3,s4,s5,s6,,f3,f4,f5
0.15848931,-3.60492595148145,1.27,-1.18438584404265,3.39257143582102,1.79212833933921,6.55524430170285,-1.86,7.5818,0.45,3.83782949468711,-0.0005260325942,-0.869009171122743,-0.03144597850485,-0.2,0.444189605902387,0.284292918508399,0.228082616507387,0.119902687343141,0.13721996216475,,0.55708674413389,0.428744430241036,0.367819851436963,0.367819851320792,0.409330356000974,0.409330356000974,,1,-0.0001,-0.02
0.162181,-3.60267224915766,1.27,-1.17300936353301,3.38760893272865,1.80527879705119,6.54302549050872,-1.86,7.5818,0.45,3.83780677919443,-0.00055233421936,-0.87538128913273,-0.031457994049827,-0.2,0.444475599184614,0.285089344066893,0.229099090805064,0.121989132169842,0.126377006396513,,0.55708674413389,0.428744430241036,0.368710843834198,0.368710843716856,0.409618315056509,0.409618315056509,,1,-0.0001,-0.02
0.1659587,-3.60041854673624,1.27,-1.161731888191,3.38261647249595,1.8185060545989,6.53079809143154,-1.86,7.5818,0.45,3.83778406358584,-0.000578635844649,-0.881765527319874,-0.031470007353258,-0.2,0.444749897376472,0.285872960134992,0.230108989853143,0.12406772340482,0.115998203105165,,0.55708674413389,0.428744430241037,0.369601836230552,0.36960183611386,0.40990627411176,0.40990627411176,,1,-0.0001,-0.02
0.1698244,-3.59816484415423,1.27,-1.15055045425045,3.37759296978709,1.83181273102893,6.51856346480311,-1.86,7.5818,0.45,3.83776134794462,-0.000604937470058,-0.88816131658155,-0.031482018337198,-0.2,0.445012757172973,0.286644770614658,0.231111896085046,0.12613870036139,0.106304705911157,,0.55708674413389,0.428744430241037,0.370492828626274,0.370492828511967,0.410194233166807,0.410194233166807,,1,-0.0001,-0.02
0.1737801,-3.59591114146801,1.27,-1.13946046429524,3.37253717455548,1.84520414743473,6.50632343249038,-1.86,7.5818,0.45,3.83773863255495,-0.000631239095566,-0.894567810730773,-0.03149402695517,-0.2,0.44526449463534,0.287405783641933,0.232107392188687,0.128202427526465,0.097432132375717,,0.55708674413389,0.428744430241036,0.371383821021714,0.371383820911366,0.410482192221762,0.410482192221762,,1,-0.0001,-0.02
0.177828,-3.59365743878618,1.27,-1.12845532580768,3.36744707076039,1.85868861867364,6.49408024934174,-1.86,7.5818,0.45,3.83771591683053,-0.000657540725481,-0.900983898132299,-0.03150603318645,-0.2,0.445505528785993,0.288156953322896,0.233095065637695,0.13025937799833,0.089407765321135,,0.55708674413389,0.428744430241036,0.372274813417292,0.372274813312235,0.410770151276762,0.410770151276762,,1,-0.0001,-0.02
0.1819701,-3.59140373623576,1.27,-1.11752621785441,3.36232120666351,1.87227930158154,6.48183656765613,-1.86,7.5818,0.45,3.83769320158681,-0.000683842410609,-0.907408102987497,-0.031518036980552,-0.2,0.445736361563408,0.288899145926174,0.234074513991329,0.132310129127253,0.082190720090931,,0.55708674413389,0.428744430241036,0.373165805813557,0.373165805714746,0.411058110331984,0.411058110331984,,1,-0.0001,-0.02
0.18620871,-3.58915003386605,1.27,-1.10666205185522,3.35715706895596,1.88599316788448,6.46959539881928,-1.86,7.5818,0.45,3.83767048618854,-0.000710144418165,-0.913838492714996,-0.031530038068435,-0.2,0.445957520112354,0.289633145824545,0.235045369111618,0.134355425637656,0.075718986018065,,0.55708674413389,0.428744430241036,0.37405679821122,0.374056798119014,0.411346069387658,0.411346069387658,,1,-0.0001,-0.02
0.1905461,-3.58689633167458,1.27,-1.0958497008091,3.35195214950112,1.89985191214083,6.45736023450816,-1.86,7.5818,0.45,3.83764777052875,-0.000736447635457,-0.920272603456957,-0.031542035502395,-0.2,0.446169524079095,0.290359632969593,0.23600733418458,0.136396234426141,0.069959846491497,,0.55708674413389,0.428744430241036,0.37494779061157,0.374947790525133,0.4116340284442,0.4116340284442,,1,-0.0001,-0.02
0.19498443,-3.5846426296952,1.27,-1.08507456393627,3.34670401487063,1.91388139017569,6.44513522941467,-1.86,7.5818,0.45,3.83762505533208,-0.000762754267311,-0.926707331605421,-0.031554026952703,-0.2,0.446372810156743,0.291079126533498,0.236960224172266,0.138433799617257,0.06489428020532,,0.55708674413389,0.428744430241037,0.375838783017158,0.375838782933199,0.411921987502435,0.411921987502435,,1,-0.0001,-0.02
